compte_id,montant,montant_moyen_compte,heure,type_transaction,canal,pays_transaction,pays_habituel_compte,nb_transactions_1h,fraude
70,52.35,73.88,6,retrait_atm,mobile,Allemagne,Allemagne,1,0
168,38.85,27.72,23,paiement_pos,atm,France,France,0,0
155,91.78,55.61,7,paiement_pos,atm,Allemagne,Allemagne,0,0
91,9.56,17.51,22,retrait_atm,web,Allemagne,Allemagne,0,0
37,130.3,42.83,0,virement,atm,Russie,Italie,3,1
47,28.14,17.04,10,achat_en_ligne,atm,Allemagne,Allemagne,0,0
81,19.65,19.85,13,virement,web,Italie,Italie,2,0
141,31.67,27.79,1,achat_en_ligne,mobile,Italie,Italie,0,0
194,79.82,39.75,15,virement,mobile,Belgique,Belgique,1,0
259,60.95,30.86,9,virement,web,France,France,1,0
188,9.47,15.96,3,paiement_pos,pos,Belgique,Belgique,0,0
109,17.1,42.99,0,paiement_pos,mobile,Allemagne,Allemagne,0,0
176,15.09,51.96,9,virement,mobile,Allemagne,Allemagne,0,0
27,30.04,15.38,14,virement,pos,Allemagne,Allemagne,0,0
32,15.49,39.31,23,virement,mobile,Belgique,Belgique,0,0
223,55.69,33.34,0,retrait_atm,pos,Espagne,Espagne,0,0
255,21.71,54.18,19,paiement_pos,web,Espagne,Espagne,1,0
54,150.18,77.05,13,virement,pos,Allemagne,Allemagne,0,0
161,58.02,46.97,1,retrait_atm,mobile,Italie,Italie,0,0
136,91.63,43.5,2,retrait_atm,atm,Belgique,Belgique,0,0
112,20.55,14.51,1,retrait_atm,web,Espagne,Espagne,0,0
292,37.79,42.81,9,paiement_pos,pos,Belgique,Belgique,2,0
280,137.44,92.99,3,paiement_pos,pos,Allemagne,France,1,0
299,128.39,62.82,20,virement,web,Belgique,Belgique,0,0
190,22.14,39.93,17,retrait_atm,mobile,Belgique,Belgique,0,0
286,16.78,11.04,10,retrait_atm,web,Italie,Italie,0,0
298,27.49,13.65,8,retrait_atm,mobile,Allemagne,Allemagne,0,0
216,26.52,17.55,20,paiement_pos,mobile,Belgique,Belgique,0,0
28,187.74,36.73,1,virement,mobile,Italie,Italie,0,1
231,136.21,86.71,1,virement,pos,Allemagne,Allemagne,0,0
121,40.33,34.19,1,virement,pos,Allemagne,Allemagne,0,0
97,137.96,118.81,23,virement,web,Belgique,Belgique,2,0
230,18.23,9.95,12,retrait_atm,pos,France,France,0,0
123,9.27,21.48,10,paiement_pos,web,Espagne,Espagne,0,0
42,30.25,89.17,21,paiement_pos,web,Espagne,Espagne,0,0
280,121.29,92.99,16,achat_en_ligne,mobile,France,France,1,0
53,45.51,40.55,8,virement,pos,Belgique,Belgique,2,0
293,24.92,29.56,22,paiement_pos,pos,Italie,Italie,0,0
247,16.91,50.46,11,achat_en_ligne,mobile,Espagne,Espagne,1,0
47,111.3,17.04,12,achat_en_ligne,mobile,Nigeria,Allemagne,2,1
226,20.41,54.88,17,retrait_atm,mobile,Belgique,Belgique,0,0
226,54.1,54.88,23,achat_en_ligne,atm,Belgique,Belgique,0,0
197,116.4,87.33,23,virement,atm,Belgique,Belgique,0,0
87,22.18,21.38,12,paiement_pos,pos,France,France,0,0
146,11.03,7.1,8,paiement_pos,pos,Italie,Italie,0,0
95,64.96,11.53,2,achat_en_ligne,web,Italie,Italie,3,1
63,81.52,57.37,15,achat_en_ligne,web,Belgique,Belgique,1,0
108,100.55,52.79,14,achat_en_ligne,atm,Espagne,Espagne,0,0
186,32.68,18.03,14,retrait_atm,pos,Allemagne,Allemagne,1,0
285,13.96,30.61,20,paiement_pos,mobile,Allemagne,Allemagne,0,0
120,83.99,40.9,13,virement,web,France,France,1,0
130,14.3,16.99,11,virement,mobile,Espagne,Espagne,0,0
198,16.43,9.6,21,retrait_atm,web,France,France,0,0
65,69.07,33.73,17,virement,atm,Allemagne,Allemagne,0,0
284,332.28,44.03,4,retrait_atm,web,Allemagne,Allemagne,0,1
49,67.65,48.72,4,achat_en_ligne,mobile,Espagne,Espagne,0,0
257,42.55,45.27,4,achat_en_ligne,web,Espagne,Espagne,1,0
183,92.44,82.0,0,virement,atm,Allemagne,Allemagne,1,0
8,60.14,95.66,16,retrait_atm,pos,Espagne,Espagne,0,0
139,14.02,38.79,10,paiement_pos,mobile,Belgique,Belgique,0,0
243,17.53,8.28,9,virement,pos,Allemagne,France,0,0
62,8.66,27.1,22,retrait_atm,pos,Espagne,Espagne,0,0
282,246.94,41.92,22,achat_en_ligne,web,Allemagne,Allemagne,0,0
238,44.24,20.56,23,achat_en_ligne,web,Allemagne,Allemagne,0,0
109,69.2,42.99,4,virement,atm,Allemagne,Allemagne,0,0
137,18.58,17.01,12,paiement_pos,mobile,Espagne,Espagne,0,0
251,103.41,45.51,8,retrait_atm,mobile,Nigeria,France,0,1
59,13.02,19.97,0,virement,web,Espagne,Espagne,1,0
105,99.93,93.43,9,virement,mobile,Espagne,Espagne,1,0
196,45.56,42.45,15,virement,web,France,France,1,0
156,8.2,27.19,10,retrait_atm,mobile,Espagne,Espagne,0,0
69,48.32,45.74,18,paiement_pos,atm,France,France,0,0
195,36.31,34.58,22,virement,pos,Italie,Italie,0,0
289,34.95,24.04,12,achat_en_ligne,pos,Allemagne,Allemagne,0,0
40,19.99,15.88,11,retrait_atm,mobile,Espagne,Espagne,0,0
60,13.02,15.94,20,achat_en_ligne,pos,Espagne,Espagne,0,0
45,28.85,26.31,16,virement,pos,France,France,0,0
225,45.83,55.37,18,paiement_pos,mobile,Espagne,Espagne,0,0
73,34.62,28.95,15,achat_en_ligne,mobile,Allemagne,Allemagne,0,0
229,10.61,29.28,3,retrait_atm,atm,Espagne,Allemagne,0,0
175,43.49,66.87,13,paiement_pos,mobile,Espagne,Espagne,0,0
21,62.62,30.14,21,virement,pos,Allemagne,Allemagne,1,0
299,117.36,62.82,1,retrait_atm,web,Belgique,Belgique,0,0
202,146.83,80.28,20,achat_en_ligne,web,Italie,Italie,0,0
289,41.92,24.04,10,paiement_pos,pos,Allemagne,Allemagne,0,0
222,68.03,54.96,6,virement,pos,Allemagne,Allemagne,0,0
231,100.48,86.71,19,achat_en_ligne,mobile,Allemagne,Allemagne,0,0
158,29.23,17.61,5,retrait_atm,web,Allemagne,Allemagne,0,0
291,45.06,22.36,9,achat_en_ligne,web,Italie,Italie,0,0
191,125.4,66.23,10,paiement_pos,web,Espagne,Espagne,0,0
77,22.91,34.96,3,achat_en_ligne,atm,Belgique,Belgique,1,0
258,30.56,28.23,3,virement,web,France,France,1,0
57,11.72,9.68,20,retrait_atm,web,Allemagne,Allemagne,1,0
258,16.29,28.23,22,paiement_pos,atm,France,France,0,0
137,6.59,17.01,22,virement,atm,Espagne,Espagne,1,0
185,37.89,21.77,4,virement,pos,Allemagne,Allemagne,0,0
71,35.95,30.18,20,retrait_atm,atm,Espagne,Espagne,0,0
136,31.11,43.5,6,paiement_pos,atm,Belgique,Belgique,0,0
67,6.92,27.2,9,retrait_atm,mobile,Italie,Italie,0,0
133,26.64,44.17,19,retrait_atm,mobile,France,France,0,0
252,18.76,21.7,3,virement,atm,Allemagne,Allemagne,0,0
88,41.49,22.37,8,achat_en_ligne,web,Belgique,Belgique,0,0
26,14.16,15.87,21,virement,mobile,Espagne,Espagne,0,0
21,47.38,30.14,10,achat_en_ligne,atm,Allemagne,Allemagne,0,0
265,29.48,22.04,1,achat_en_ligne,web,Italie,Italie,0,0
102,25.67,16.4,16,retrait_atm,mobile,France,France,0,0
226,102.05,54.88,7,paiement_pos,mobile,Belgique,Belgique,0,0
12,22.84,16.27,14,virement,pos,Italie,Italie,0,0
37,24.06,42.83,2,achat_en_ligne,pos,Italie,Italie,1,0
44,159.56,29.73,4,achat_en_ligne,pos,Russie,Belgique,1,1
47,23.26,17.04,23,virement,mobile,Allemagne,Allemagne,0,0
3,32.51,30.11,17,virement,mobile,Espagne,Espagne,2,0
135,69.96,57.77,20,virement,pos,Espagne,Espagne,0,0
124,43.75,40.04,12,paiement_pos,atm,Allemagne,Allemagne,0,0
32,12.97,39.31,6,virement,web,Belgique,Belgique,0,0
277,0.5,19.44,21,retrait_atm,web,Allemagne,Allemagne,4,1
198,2.8,9.6,19,achat_en_ligne,pos,France,France,1,0
108,85.7,52.79,17,paiement_pos,web,Espagne,Espagne,0,0
233,19.55,35.33,16,retrait_atm,pos,France,France,0,0
137,36.41,17.01,3,paiement_pos,web,Espagne,Espagne,1,0
4,23.9,17.79,22,achat_en_ligne,pos,Allemagne,Allemagne,0,0
185,46.56,21.77,19,retrait_atm,web,Allemagne,Allemagne,0,0
153,179.17,93.36,3,virement,web,Italie,Italie,0,0
221,18.74,37.39,7,virement,web,France,France,0,0
208,72.02,38.08,8,virement,mobile,Italie,Italie,0,0
86,34.5,68.27,4,achat_en_ligne,mobile,Espagne,Espagne,1,0
147,162.35,28.73,2,retrait_atm,mobile,Roumanie,France,0,1
137,35.46,17.01,19,virement,pos,France,Espagne,1,0
294,163.63,40.33,1,retrait_atm,atm,Belgique,Belgique,1,0
161,54.47,46.97,23,achat_en_ligne,web,Italie,Italie,0,0
88,46.09,22.37,6,paiement_pos,web,Belgique,Belgique,1,0
297,34.01,26.96,3,virement,atm,Italie,Italie,1,0
69,70.88,45.74,6,achat_en_ligne,web,France,France,0,0
152,25.31,40.32,4,paiement_pos,mobile,Belgique,Belgique,0,0
129,185.01,20.95,3,paiement_pos,pos,Allemagne,Allemagne,0,1
49,33.15,48.72,10,paiement_pos,pos,Espagne,Espagne,0,0
12,172.17,16.27,23,virement,mobile,Belgique,Italie,0,1
233,13.73,35.33,19,retrait_atm,atm,France,France,1,0
93,37.45,19.57,19,achat_en_ligne,web,Italie,Italie,0,0
240,88.83,45.35,23,virement,mobile,Espagne,Espagne,0,0
118,30.62,60.8,14,virement,mobile,France,France,0,0
78,18.39,37.98,14,retrait_atm,mobile,Belgique,Belgique,1,0
291,36.72,22.36,5,achat_en_ligne,atm,Italie,Italie,0,0
35,53.68,25.88,7,achat_en_ligne,atm,Italie,Italie,0,0
199,51.1,23.23,14,paiement_pos,mobile,Belgique,Belgique,0,0
47,15.51,17.04,3,paiement_pos,mobile,Allemagne,Allemagne,1,0
285,26.88,30.61,16,paiement_pos,web,Allemagne,Allemagne,1,0
12,12.91,16.27,22,virement,atm,Italie,Italie,1,0
111,27.22,30.56,11,retrait_atm,mobile,Belgique,Belgique,0,0
189,7.03,22.14,8,achat_en_ligne,mobile,Belgique,Belgique,0,0
273,42.54,35.0,6,retrait_atm,atm,France,France,0,0
38,370.05,83.22,15,retrait_atm,pos,Italie,Italie,0,0
261,3.88,10.02,18,virement,pos,Espagne,Espagne,0,0
212,24.19,30.31,16,achat_en_ligne,web,Espagne,Espagne,0,0
22,198.7,32.32,6,virement,atm,Belgique,Belgique,0,1
116,6.29,23.73,20,virement,mobile,Allemagne,Allemagne,0,0
149,47.3,39.55,8,retrait_atm,web,Italie,Italie,0,0
60,21.29,15.94,9,paiement_pos,atm,Espagne,Espagne,0,0
261,18.75,10.02,6,retrait_atm,web,Espagne,Espagne,0,0
20,266.27,41.72,11,virement,web,Ukraine,Allemagne,1,1
229,20.55,29.28,12,paiement_pos,web,Allemagne,Allemagne,0,0
13,9.3,18.56,16,achat_en_ligne,web,France,Espagne,0,0
15,109.07,118.76,21,achat_en_ligne,atm,Allemagne,Espagne,0,0
92,43.01,24.1,10,retrait_atm,atm,Italie,Italie,0,0
141,43.46,27.79,10,virement,web,Italie,Italie,0,0
150,152.59,26.49,14,paiement_pos,atm,France,France,0,0
30,62.5,36.45,7,achat_en_ligne,atm,Allemagne,Allemagne,1,0
268,40.06,37.29,11,retrait_atm,mobile,Belgique,Belgique,0,0
115,149.04,38.07,9,virement,web,Allemagne,Allemagne,0,0
228,189.02,133.83,18,retrait_atm,pos,Allemagne,Allemagne,0,0
32,65.57,39.31,21,paiement_pos,atm,Belgique,Belgique,0,0
114,26.43,28.22,12,retrait_atm,mobile,Allemagne,Allemagne,0,0
235,23.19,12.66,12,achat_en_ligne,web,Allemagne,Allemagne,1,0
251,260.84,45.51,7,virement,pos,France,France,0,0
195,64.26,34.58,9,retrait_atm,pos,Italie,Italie,1,0
254,16.36,37.27,22,achat_en_ligne,pos,Belgique,Belgique,0,0
211,26.17,19.73,8,achat_en_ligne,mobile,Belgique,Belgique,0,0
232,39.78,25.16,8,retrait_atm,mobile,France,Italie,2,0
288,21.89,23.03,20,achat_en_ligne,atm,Allemagne,Allemagne,2,0
75,28.37,36.82,7,retrait_atm,mobile,Espagne,Espagne,0,0
194,84.87,39.75,17,achat_en_ligne,mobile,Belgique,Belgique,3,1
193,17.18,8.37,3,virement,mobile,Belgique,Espagne,0,0
251,45.73,45.51,9,retrait_atm,web,France,France,0,0
50,54.48,26.13,2,virement,pos,Espagne,Espagne,0,0
27,10.23,15.38,7,virement,pos,Allemagne,Allemagne,0,0
44,57.13,29.73,8,paiement_pos,atm,Belgique,Belgique,1,0
149,35.01,39.55,8,paiement_pos,atm,Italie,Italie,1,0
127,96.08,85.12,18,virement,web,France,France,0,0
157,62.67,31.92,11,paiement_pos,web,France,France,0,0
259,30.52,30.86,7,achat_en_ligne,pos,France,France,2,0
136,86.58,43.5,9,virement,web,Belgique,Belgique,1,0
148,44.26,36.82,14,paiement_pos,mobile,Belgique,Belgique,0,0
142,23.98,31.12,1,retrait_atm,pos,Belgique,Belgique,0,0
47,37.04,17.04,2,retrait_atm,pos,Allemagne,Allemagne,0,0
115,37.15,38.07,5,virement,atm,Allemagne,Allemagne,0,0
207,43.97,62.87,20,achat_en_ligne,mobile,Espagne,Espagne,1,0
292,77.7,42.81,13,virement,web,Belgique,Belgique,0,0
167,11.18,54.42,8,paiement_pos,web,Belgique,Belgique,0,0
119,49.09,36.35,7,achat_en_ligne,mobile,Belgique,Belgique,0,0
159,7.2,27.09,19,retrait_atm,web,Allemagne,Allemagne,1,0
56,75.45,48.73,22,retrait_atm,atm,France,France,0,0
261,15.54,10.02,16,virement,atm,Espagne,Espagne,0,0
284,54.07,44.03,16,paiement_pos,web,Allemagne,Allemagne,1,0
107,44.98,28.58,11,paiement_pos,web,Espagne,Espagne,0,0
65,49.03,33.73,4,paiement_pos,mobile,Allemagne,Allemagne,1,0
254,31.96,37.27,16,virement,atm,Belgique,Belgique,1,0
36,286.52,64.31,13,virement,web,France,France,0,0
12,27.3,16.27,21,paiement_pos,mobile,Italie,Italie,1,0
287,90.61,57.8,15,virement,atm,France,France,0,0
139,26.79,38.79,12,paiement_pos,mobile,Belgique,Belgique,0,0
130,31.09,16.99,17,virement,web,Espagne,Espagne,0,0
115,47.61,38.07,6,paiement_pos,atm,Allemagne,Allemagne,0,0
138,116.69,24.96,11,paiement_pos,mobile,France,France,0,0
280,552.67,92.99,2,virement,web,Russie,France,0,1
213,64.94,30.22,5,achat_en_ligne,atm,Espagne,Espagne,0,0
261,21.4,10.02,12,retrait_atm,web,Espagne,Espagne,1,0
123,10.95,21.48,18,virement,pos,Espagne,Espagne,0,0
77,204.83,34.96,5,virement,mobile,Belgique,Belgique,1,1
169,63.05,34.46,8,retrait_atm,mobile,Belgique,Belgique,0,0
296,128.24,73.14,3,retrait_atm,mobile,Allemagne,Allemagne,0,0
263,24.42,13.61,11,virement,pos,Belgique,Belgique,0,0
75,20.86,36.82,21,retrait_atm,pos,Espagne,Espagne,0,0
86,133.14,68.27,18,paiement_pos,web,Espagne,Espagne,1,0
214,21.7,41.68,14,retrait_atm,web,Allemagne,Allemagne,0,0
19,35.91,57.91,6,virement,atm,Italie,Italie,0,0
142,42.94,31.12,7,retrait_atm,atm,Belgique,Belgique,0,0
26,25.68,15.87,14,virement,atm,Espagne,Espagne,0,0
210,32.26,38.95,16,retrait_atm,mobile,Espagne,Espagne,0,0
143,18.8,28.47,12,virement,atm,Belgique,Belgique,0,0
20,72.15,41.72,22,retrait_atm,pos,Allemagne,Allemagne,0,0
114,11.15,28.22,4,achat_en_ligne,atm,Allemagne,Allemagne,0,0
75,51.38,36.82,21,retrait_atm,pos,Espagne,Espagne,0,0
65,37.0,33.73,17,achat_en_ligne,atm,France,Allemagne,0,0
160,46.52,72.24,19,virement,pos,Espagne,Espagne,2,0
75,75.05,36.82,19,retrait_atm,atm,Espagne,Espagne,0,0
51,23.61,33.01,23,virement,mobile,Espagne,Espagne,0,0
282,24.04,41.92,23,virement,web,Allemagne,Allemagne,1,0
85,61.9,40.02,18,paiement_pos,mobile,Espagne,Espagne,0,0
300,34.83,27.14,11,paiement_pos,atm,France,France,0,0
188,30.1,15.96,13,retrait_atm,web,Belgique,Belgique,1,0
22,47.8,32.32,11,virement,web,Belgique,Belgique,0,0
21,17.25,30.14,9,retrait_atm,mobile,Allemagne,Allemagne,0,0
14,34.93,21.43,5,achat_en_ligne,atm,Espagne,Espagne,0,0
20,67.65,41.72,1,retrait_atm,web,Allemagne,Allemagne,0,0
144,4.75,36.29,3,retrait_atm,web,Nigeria,Allemagne,3,1
9,73.25,35.81,16,virement,mobile,Belgique,Belgique,0,0
280,149.02,92.99,23,retrait_atm,atm,France,France,0,0
29,135.9,85.41,15,retrait_atm,web,Allemagne,Allemagne,2,0
244,42.3,34.21,9,virement,pos,Espagne,Espagne,0,0
132,79.03,38.77,17,achat_en_ligne,web,Allemagne,Allemagne,1,0
270,95.93,73.45,1,virement,pos,Allemagne,Allemagne,0,0
142,153.62,31.12,9,retrait_atm,web,Belgique,Belgique,1,0
13,39.34,18.56,12,virement,mobile,Espagne,Espagne,0,0
286,4.53,11.04,13,retrait_atm,pos,Italie,Italie,0,0
161,388.83,46.97,0,achat_en_ligne,mobile,Roumanie,Italie,0,1
290,47.35,17.43,0,achat_en_ligne,web,Espagne,Allemagne,1,0
142,158.12,31.12,22,retrait_atm,web,Belgique,Belgique,1,0
30,69.03,36.45,6,achat_en_ligne,mobile,Allemagne,Allemagne,0,0
28,72.22,36.73,10,virement,pos,Italie,Italie,2,0
271,56.9,31.77,20,retrait_atm,pos,Belgique,Belgique,0,0
265,20.11,22.04,6,virement,atm,Italie,Italie,0,0
281,11.98,14.45,18,paiement_pos,web,Belgique,Belgique,0,0
176,27.35,51.96,8,retrait_atm,mobile,Allemagne,Allemagne,0,0
218,633.43,80.55,0,paiement_pos,pos,France,France,1,1
73,330.44,28.95,19,retrait_atm,web,Allemagne,Allemagne,4,1
237,22.47,12.67,15,retrait_atm,pos,Espagne,Espagne,0,0
20,15.55,41.72,12,virement,mobile,Allemagne,Allemagne,0,0
208,170.1,38.08,16,virement,pos,Italie,Italie,0,0
133,5.12,44.17,16,virement,pos,France,France,2,1
10,12.75,59.72,20,achat_en_ligne,pos,France,France,2,0
220,22.13,20.22,3,virement,web,Italie,Italie,0,0
141,52.15,27.79,13,paiement_pos,pos,Italie,Italie,2,0
165,518.21,94.29,18,retrait_atm,web,Allemagne,Allemagne,1,0
111,6.15,30.56,18,achat_en_ligne,web,Belgique,Belgique,1,0
291,48.65,22.36,2,retrait_atm,pos,Italie,Italie,1,0
134,22.52,11.63,16,virement,atm,Allemagne,Allemagne,0,0
179,3.83,12.89,13,paiement_pos,atm,France,Italie,0,0
143,36.67,28.47,10,retrait_atm,pos,Belgique,Belgique,1,0
92,46.45,24.1,0,achat_en_ligne,mobile,Italie,Italie,0,0
35,31.8,25.88,15,achat_en_ligne,pos,Italie,Italie,0,0
278,50.07,26.71,20,achat_en_ligne,atm,Espagne,Espagne,0,0
259,22.01,30.86,16,virement,web,France,France,0,0
117,51.34,43.94,5,achat_en_ligne,atm,France,France,1,0
241,75.79,39.09,10,paiement_pos,atm,France,France,0,0
14,4.46,21.43,23,achat_en_ligne,mobile,Espagne,Espagne,0,0
67,38.22,27.2,15,retrait_atm,web,Italie,Italie,0,0
185,40.73,21.77,10,paiement_pos,web,Allemagne,Allemagne,0,0
84,32.47,23.23,9,virement,atm,Italie,Italie,0,0
32,210.52,39.31,17,paiement_pos,web,Belgique,Belgique,1,0
83,8.54,13.76,13,retrait_atm,atm,France,France,0,0
258,91.59,28.23,18,virement,mobile,France,France,0,0
264,11.03,8.16,12,achat_en_ligne,pos,Italie,Italie,0,0
39,27.95,36.96,2,retrait_atm,mobile,Belgique,Belgique,0,0
97,250.04,118.81,19,achat_en_ligne,web,Belgique,Belgique,0,0
29,68.23,85.41,10,retrait_atm,web,Espagne,Allemagne,0,0
146,21.55,7.1,21,achat_en_ligne,pos,Italie,Italie,0,0
73,53.98,28.95,19,retrait_atm,atm,Allemagne,Allemagne,1,0
124,73.65,40.04,2,virement,pos,Allemagne,Allemagne,0,0
257,24.2,45.27,18,virement,pos,Espagne,Espagne,1,0
67,33.23,27.2,20,paiement_pos,atm,Italie,Italie,0,0
34,41.6,37.77,21,retrait_atm,atm,Allemagne,Allemagne,0,0
190,34.09,39.93,10,paiement_pos,mobile,Belgique,Belgique,0,0
95,23.98,11.53,20,achat_en_ligne,mobile,Italie,Italie,0,0
121,72.61,34.19,20,retrait_atm,mobile,Allemagne,Allemagne,0,0
148,33.06,36.82,1,virement,mobile,Belgique,Belgique,0,0
5,21.29,12.12,6,achat_en_ligne,web,Allemagne,Allemagne,0,0
5,1.48,12.12,9,paiement_pos,mobile,Roumanie,Allemagne,7,1
130,4.45,16.99,13,achat_en_ligne,mobile,Espagne,Espagne,0,0
189,22.75,22.14,17,paiement_pos,mobile,Belgique,Belgique,0,0
143,42.29,28.47,13,achat_en_ligne,mobile,Belgique,Belgique,0,0
85,41.94,40.02,15,achat_en_ligne,atm,Espagne,Espagne,0,0
71,10.95,30.18,8,virement,mobile,Espagne,Espagne,0,0
132,119.76,38.77,11,virement,pos,Roumanie,Allemagne,0,1
286,1.55,11.04,21,virement,mobile,Roumanie,Italie,2,1
43,169.59,93.15,15,virement,pos,Espagne,Espagne,0,0
58,39.32,32.16,3,achat_en_ligne,mobile,France,France,0,0
165,100.04,94.29,22,paiement_pos,mobile,Allemagne,Allemagne,0,0
164,87.06,43.1,19,achat_en_ligne,mobile,Allemagne,Allemagne,1,0
249,62.46,52.25,14,achat_en_ligne,pos,Espagne,Espagne,0,0
103,10.15,26.55,9,virement,web,Italie,Italie,0,0
265,9.08,22.04,9,achat_en_ligne,mobile,Italie,Italie,2,0
297,13.92,26.96,12,retrait_atm,web,Italie,Italie,0,0
28,11.37,36.73,16,retrait_atm,atm,Italie,Italie,0,0
23,7.68,22.36,9,virement,pos,France,France,0,0
71,85.51,30.18,6,achat_en_ligne,atm,Espagne,Espagne,2,0
72,12.39,21.81,2,achat_en_ligne,web,France,France,0,0
73,129.64,28.95,9,paiement_pos,web,Allemagne,Allemagne,0,0
279,107.51,53.63,23,virement,mobile,France,France,0,0
59,29.57,19.97,2,paiement_pos,pos,Espagne,Espagne,0,0
154,22.52,13.19,6,achat_en_ligne,mobile,Belgique,Belgique,0,0
247,105.93,50.46,12,virement,mobile,Espagne,Espagne,0,0
111,65.2,30.56,0,paiement_pos,mobile,Belgique,Belgique,1,0
119,20.43,36.35,19,paiement_pos,pos,Belgique,Belgique,0,0
209,28.53,38.12,22,retrait_atm,mobile,Belgique,Belgique,2,0
136,75.24,43.5,18,paiement_pos,pos,Belgique,Belgique,1,0
54,60.88,77.05,12,achat_en_ligne,web,Allemagne,Allemagne,0,0
207,53.01,62.87,16,paiement_pos,mobile,Espagne,Espagne,1,0
275,48.73,23.18,5,retrait_atm,pos,Allemagne,Allemagne,1,0
96,22.82,13.73,16,paiement_pos,mobile,Belgique,Belgique,1,0
240,52.1,45.35,20,achat_en_ligne,pos,Espagne,Espagne,4,0
11,169.63,24.54,3,achat_en_ligne,pos,Roumanie,Allemagne,2,1
95,24.49,11.53,10,paiement_pos,web,Italie,Italie,0,0
91,34.98,17.51,4,virement,pos,Allemagne,Allemagne,0,0
232,9.1,25.16,14,achat_en_ligne,mobile,Italie,Italie,2,0
299,25.42,62.82,1,retrait_atm,atm,Belgique,Belgique,0,0
22,19.55,32.32,17,virement,web,Belgique,Belgique,1,0
72,129.02,21.81,8,paiement_pos,mobile,France,France,0,0
141,196.42,27.79,2,achat_en_ligne,pos,Italie,Italie,2,1
52,49.11,30.02,8,paiement_pos,pos,France,France,0,0
143,35.92,28.47,11,paiement_pos,web,Belgique,Belgique,0,0
45,20.16,26.31,16,virement,web,France,France,0,0
288,26.65,23.03,6,retrait_atm,pos,Allemagne,Allemagne,0,0
228,28.73,133.83,5,achat_en_ligne,web,Allemagne,Allemagne,0,0
87,7.88,21.38,16,virement,web,France,France,1,0
299,71.84,62.82,23,virement,pos,Belgique,Belgique,1,0
160,105.1,72.24,9,paiement_pos,mobile,Espagne,Espagne,0,0
104,40.4,40.65,4,achat_en_ligne,mobile,France,France,1,0
237,23.82,12.67,11,achat_en_ligne,pos,Espagne,Espagne,0,0
18,49.83,19.26,18,retrait_atm,atm,France,France,0,0
22,55.98,32.32,15,virement,web,Belgique,Belgique,0,0
220,32.01,20.22,16,paiement_pos,atm,Italie,Italie,0,0
16,8.83,20.23,22,retrait_atm,mobile,Espagne,Espagne,1,0
294,55.7,40.33,13,paiement_pos,web,Belgique,Belgique,0,0
154,24.85,13.19,11,retrait_atm,web,Belgique,Belgique,1,0
68,91.07,60.44,8,retrait_atm,web,Belgique,Belgique,0,0
229,101.19,29.28,20,retrait_atm,web,Allemagne,Allemagne,1,0
224,374.81,73.51,14,retrait_atm,atm,Belgique,Belgique,0,0
112,20.71,14.51,11,virement,atm,Espagne,Espagne,0,0
